,itemId,Word2Vec,TFIDF,Glove
0,25844,pesan keren cod,pesan keren cod,keren pesan cod
1,25850,OK OKE Thanks is Everthing Lazada,Lazada Thanks OK OKE is Everthing,OKE
2,40339,awet enteng baterai enteng dibawa,enteng baterai awet enteng dibawa,dibawa baterai enteng enteng awet
3,55752,Barangnya rapih pakai aman kece buruk Kualitas packagingnya kece harga,kece rapih Kualitas sampe skrng aman pakai harga buruk kece,sekali sampe kece kece skrng awet buruk pakai harga banget
4,56736,diterima data ga Selain bisa beli Barang komputer 30 kok,bagus kok flashdisk nya Barang kok Very data beli rapi,Original packing 30 Selain kok bagus good recomend mbps God
5,65253,file2 besar simpan OK membantu kapasitas penting utk,utk besar OK penting membantu kapasitas simpan file2,OK kapasitas simpan besar utk membantu
6,71072,jg barangnya puas pengiriman bagus brgnya cepat,puas cepat pengiriman brgnya jg bagus barangnya,bagus jg barangnya cepat puas brgnya pengiriman
7,73857,gak ekspektasi hari beli dateng thanks bagus barang sesuai okeoriginal,mo yg lazada okeoriginal Barangnya cuman dateng toshibaGiliran cepet thanks,nya gak bagus udah yg beli dateng cepet banget barang
8,75915,keseluruhan barang produknya flashdisk GB Hayabusa cacat cepat Ya bagusberfungsi,Lima Flash packing Hayabusa 16 Flash Toshiba rapi Disk barang,bagus barang aja gitu Produknya barang Mantap Secara gak nympe
9,82190,bagus Kingston 30 cepet punya super kapan produk sesuai cuman,kapan produk deh 30 super Kingston sayang pengen bagus hilang,jadi nih sayang Kingston super pengen hilang kapan cepet nya
10,96876,puas barangnya,barangnya puas,barangnya puas
11,112981,lazada sampai bekerja kerusakaneror sesuai Barang Puas tercantum waktu sesuai,barang Barang barang barang dus Oke kerusakaneror sesuai deskripsi kasih,ada sesuai tercantum waktu baik apapun kasih sesuai sampai telah
12,115569,you Pengiriman sesuai packingan oke Super Mantap produk cepat Lima,sesuai cepat you produk oke bagus thank Pengiriman Pengiriman Super,Sesuai Lima punya packingan Bintang Mantap you thank deskripsi pesanan
13,115796,Mantap Cuman nya gan saran buble terima Balikpapan kasih more,Balikpapan Mantap thx packing kurang di aman secure Barang bagaimana,baik kasih terima nya kurang gan saran di aman thx
14,116135,Mantab laxada bagus awet kenkez pengiriman tgl sulit semoga lama,God Barang barang Instalasi kenkez hari respon pengiriman dg tgl,respon Lazada tgl cepet hari kenkez jalan pihak pengiriman awet
15,122145,sampai buat lazada Thanks nya sampe Thankyou Kemasan barang sesama,sampe nya lazada langsung Thankyou Kemasan sehari sampai sesama kenkez,Kemasan Jakarta Thanks sesama sampai barang sampe nya sehari langsung
16,123610,berfungsi Product oke pengiriman cepatbarang God mantap baik,pengiriman Product oke cepatbarang mantap berfungsi God baik,mantap oke pengiriman God cepatbarang
17,130054,selamat barangnya di Bintang gambar sesuai Barang nyampe mantap coba,nyampe sesuai Bintang di gambar Barang barangnya selamat coba mantap,Barang Bintang Dua selamat barangnya di nyampe coba
18,139398,barang sesuai,barang sesuai,sesuai barang
19,170622,ga komplen Thx Barang pake puas retak sangat dengan beli,kecewa Kecewa puas seler mau sangat original ya lazada packing,yg jg ga mau puas pake gmna sangat dengan ya
20,170623,19 SanDisk tangal 15 barang USB Rapi Flasdisk Jan Cepat,USB Bintang barang Flasdisk Tepat Jan Jan 15 Kemasan tangal,Cruzer 32GB CZ3 Flasdisk USB SanDisk Pesan Bintang Penjual Rapi
21,170625,HP Sangan mantab hinga berfungsi sat bagus dipakai baik ini,mantab bagus Sangan HP hinga dipakai baik sat ini berfungsi,Sangan hinga sat berfungsi ini baik bagus dipakai
22,170626,sip murah barang good respon hebat cepat harga berkualitas bagus,barang bagus sip good harga respon hebat cepat berkualitas murah,good sip respon cepat hebat berkualitas harga barang bagus murah
23,170627,Mantap Cepet nyampenya,Mantap nyampenya Cepet,Mantap
24,170628,sampai yang pesanan barang Pesan hari 582015 Respon rabu tengkyu,Hari hari barang sesuai udah mendarat jumat pesanan Pesan tengkyu,582015 Pesan Respon Fast fast tengkyu ditawarkan mendarat pesanan rabu
25,170631,Iklan Tidak Dan Warna Barang gambar Cuma iklan Di warnanya,sesuai Tidak Batang Barang Warna gambar Kurang Iklan seperti warnanya,sesuai iklan Warna Di Cuma Bagus Barang Tidak
26,170632,oke pokoknya sangat barangnya berkualitas tipis banget,pokoknya berkualitas sangat oke barangnya tipis banget,pokoknya banget tipis oke barangnya berkualitas sangat
27,170635,ngak gb ditempat Bisa Flasdisk bayar ya,bayar gb ngak Bisa Flasdisk ditempat ya,Bisa Flasdisk gb ditempat bayar
28,170636,bagus,bagus,bagus
29,170637,Mantap hidup,Mantap hidup,hidup
30,170638,Barang diterima Barang baik oke sesuai,Barang sesuai baik oke diterima Barang,diterima baik Barang oke Barang
31,170670,DECH KILATBARANG BANGET KEMASAN MEMUASKANPROSES SERVICE Puas OKE PAKET MANTABRECOMENDED,SECEPAT Puas MANTABRECOMENDED MEMUASKANPROSES OKE SERVICE BANGET PAKET DECH KEMASAN,
32,170676,Bagus awet hardisknyaUdah lama,lama awet hardisknyaUdah Bagus,hardisknyaUdah Bagus
33,170680,slama reviewsy pake gan Maf kendala telat udh 15 tdk,Maf tdk slama thun telat 15 br Dan kendala pake,15 reviewsy Maf Ulasan br pake gan telat udh
34,170683,bagus memakai besar sdh jadi dibawa pesanan cepat dipakai Thanks,sedikit pesanan Thanks besar susah sdh dibawa listrik cepat harus,Barang Thanks pesanan listrik memakai besar sampai dibawa bagus bawa
35,202064,cepat baik Cepet dikirim banget Barang responyabarang bisa digunakan yg,bisa responyabarang cepat baik Cepet Barang yg banget dikirim digunakan,cepat yg banget dikirim responyabarang Barang Cepet
36,202109,usb Mantap haha product walaupun Thanks barangnya dong and pas,Mantap walaupun 64 haha usb ditambah promo bagus Sip pas,gb product promo haha and bagus usb barangnya pas seler
37,202812,bagus Tx cpt lazada,bagus Tx cpt lazada,cpt Tx lazada
38,202818,puas sangat,sangat puas,sangat puas
39,245029,bagus deh pengirman Barang cepat mantab,pengirman deh mantab Barang bagus cepat,bagus pengirman Barang cepat
40,270768,puas so fasilitas thanks far didapat hari sebanding tidak pengirimanya,pengirimanya sangat tidak sebanding fasilitas didapat puas so hari far,yg tidak sangat hari harga puas produk didapat fasilitas sebanding
41,318263,16GB like sangat jg what pesanan baik pesanan Great Flashdisk,jg terima pesanan Satisfied what its kualitas expected 30 16GB,16GB 30 puas sangat Sandisk Flashdisk cz48 USB Barang Great
42,325131,OK Barang Banget,OK Banget Barang,
43,344027,Sukses bagus penjual Terima Bagus Sesuai JNEnya Pokoknya Pengiriman kasih,Terima pihak yg kasih foto JNEnya sama Pokoknya Pengiriman Sesuai,yg sama mau cepat pihak penjual Sesuai JNEnya Pengiriman Bagus
44,382973,Hanya bagus okelah sayang GB Recomended flashdisk kapasitasnya 16 14gb,kapasitasnya bagus harganya bersaing flashdisknyatp 14gb barang Barang sayang awet,lucu 14gb akhirnya Cute flashdisknyatp isinya flashdisk Hanya Recomended edition
45,420507,model blingbling kity dipakai helo makasih nyabisa suka,model suka helo dipakai nyabisa blingbling makasih kity,nyabisa blingbling kity helo dipakai model suka
46,421760,Seler dalam Recomended diterima Barang cepat keadan baik,Recomended Seler dalam Barang baik keadan diterima cepat,Barang Seler Recomended diterima cepat
47,425932,sesuai bekas Harga lah barang kalo God x08d Buat beli,harga ga kotor kotor lah Bintang bagus kayak pikir2 kanebo,ada dulu coba kotor pake dulu bersihkan ga barang kayak
48,444003,pelayananya Coba web banget cara disambut gambar telpon 07042015 ternyata,Ordernya cepat pelayananya tgl baik cara tercantum sesuai Coba supliernya,gambar supliernya banget Barangnya sesuai 09042015 Coba tgl cepat barangnya
49,488300,cman udh isinya kgk barang gede dapat sped abis2 tb,tb abis2 barang isinya mungil gede dapat cman kgk 10MBps,udh gede isinya bgt barang cman dapat mungil tb 10MBps
50,491821,satu aku semua nih alhamdulilaha beli thanks kenkez cara keren,produk hmpir satu cetar membahana thanks beli puas emng ketagihan,EX2 thanks alhamdulilaha cara satu hmpir membahana sama abiz jadi
51,498025,bagus kualitas Harga bagus sesuai ekspektasi Produk,sesuai kualitas Harga Produk ekspektasi bagus bagus,bagus kualitas bagus sesuai ekspektasi Produk
52,498514,tangal Tapi sama smpai fasilitas Saya juni blm smpai dihari,pesan fasilitas gosend smpai sama tangal juni segera sekarang Tapi,Tapi gosend Saya Barang tangal fasilitas smpai hardisk sekarang dihari
53,499328,kok Recomended Produknya Kasih Terima pengirimanya pesanan cepat tiba Barang,Barang bagus Terima lumayan Recomended tiba Kasih kualitas sesuai cepat,sesuai kualitas Produknya terjamin pesanan tiba Recomended Barang Recomended
54,499350,lg Lazada harga dapatnya sukses Kenkez yg Tanks trima cpt,Kenkez Lazada smpe Lazada lg onlineshop Lazada SERVICE dapatnya Tanks,Tanks Lazada selalu sukses lg Kenkez DeliveryBoy col onlineshop ane
55,506633,semoga listrik Bintang sampai rusak Barang awt tegangan sesuai cepat,tegangan awt Barang Terima Bintang sampai semoga kasih sudah rusak,Bintang Lima Terima awt tegangan semoga digunakan listrik kasih rusak
56,507139,mahal disini lebih Terlalu mahal Produk Mahal harganya Harga standar,Mahal mahal Terlalu lebih disini Harga Produk mahal harganya toko,Produk Mahal Terlalu Harga standar mahal mahal lebih
57,507144,mah sebatang bantunyalain darurat pemakaian lumayan,lumayan darurat bantunyalain sebatang pemakaian mah,bantunyalain lumayan darurat pemakaian sebatang
58,535888,ok Barangnya Layanan baik terima saya Layanan baik dicoba berfungsi,terima berfungsi saya Barangnya produk ok baik baik Layanan dicoba,penjual Barangnya Layanan ok baik baik berfungsi terima dicoba produk
59,582325,tertera pengiriman cepat sesuai spec,tertera cepat pengiriman spec sesuai,spec cepat pengiriman tertera sesuai
60,648290,jadi pas ponsel pasangan powerbank mungil tersimpan lumayan Pas Ukuran,Ukuran mungil jadi buat aman lumayan powerbank ponsel pasangan tersimpan,jadi buat pasangan lumayan mungil ponsel powerbank pas Ukuran Pas
61,703108,sempurna selamat Barangnya berfungsi dengan,dengan selamat berfungsi sempurna Barangnya,Barangnya dengan berfungsi selamat
62,719178,sesuai deskripsi pesanan Barang,sesuai deskripsi pesanan Barang,deskripsi Barang sesuai
63,727874,mantap,mantap,mantap
64,889970,sesuai good pesanan,good pesanan sesuai,sesuai pesanan good
65,890041,rapi Terimah packingnya senang barangnya sekali kasih you Barangnya atas,Barangnya barangnya Terimah sekali rapi senang kasih you bagus atas,Barangnya Terimah packingnya barangnya kasih rapi senang sekali atas bagus
66,970638,Excelent,Excelent,
67,1038188,tgl Beli Barang oke nyampe rapi bakalan HD Ternyata packaging,nyampe Kirain Des Harbolnas udah rapi Makasih Beli cepat JVP,Des Harbolnas HD Beli Barang Mantap packaging pengiriman pas cepat
68,1043227,Lima nih digital Tanya ful Bener hd nih,Tanya Bener digital ful hd Lima nih nih,nih ful nih Bener Tanya
69,1077142,berjalan Semua mksh lazada,mksh lazada Semua berjalan,mksh berjalan Semua
70,1141351,barang sampai pengiriman lewat KECEWA batas,sampai batas KECEWA lewat pengiriman barang,lewat batas pengiriman barang KECEWA
71,1141800,gambar sesuai makasi Bagus Barangx bagus,makasi gambar sesuai Barangx bagus Bagus,Barangx Bagus bagus sesuai
72,1179900,kurang sebagai cepat terjangkau bagus bagus baik cuman pesanan data,Packing sebagai bagus terjangkau Berfungsi harga packingnya 85MBs packing baik,barang sesuai bagus baik packing cepat bagus terjangkau sampai produk
73,1296575,dan info lebih diterima android ada barang dicantumkan flashdrive ios,lebih nya flashdrive sesuai diterima dicantumkan and spek ada cepat,info nya dan ada barang diterima cepat lebih android usb
74,1498455,kapasitas sesuai Terimakasih Recomended merk Flashdisknya terima sesuai SANDISK God,sesuai Barang God Recomended Flashdisknya merk Terimakasih SANDISK gambar selamat,8GB SANDISK sesuai Barang Recomended selamat kapasitas merk gambar terima
75,1498497,bagus tap deh dgn gambar belanja Barang lazada beli tap,Keren hologram banget disini Mantulsemoga mantap bagus belanja lazada Gak,ori Barang disini cepatterima hologram tap lazada tap pengiriman Mantulsemoga
76,1993172,bagus Produk Ok,bagus Ok Produk,Ok
77,1998445,yg warna hd bukan dtg 25h3 yg Barang biru sangat,yg 25m3 bukan warna sangat dtg yg transcend Barang 25h3,warna yg 25m3 sangat yg akurat dtg hd transcend Barang
78,2087116,use beautifuland Wel easy to,easy use to beautifuland Wel,easy beautifuland Wel
79,2087189,deliveryWhen and intact got WelenIts goodand recomended lazada realy itits,intact lazada got deliveryWhen realy WelenIts seler and itThanks goodand,got fast itits deliveryWhen goodand WelenIts intact realy package so
80,6070,mau kebun kalkulator harga game nyaman untuk bermain digunakan membeli,nge jadi kurang andalan Grafiknya terbaik andalan Pertama servisnya doang,page kebun terima aku bagus laptop lajada leptob kasih lepas
81,2087529,BARANG GAMBAR LAZADA OK SUDAH TERIMA SESUAI DI DI PUNYA,DI LAZADA DI BARANG OK SUDAH TERIMA PUNYA GAMBAR BELANJA,
82,2087639,so Useful and far Capacity good Enough so,Capacity good Useful far Enough and so so,so so Capacity far Enough good Useful
83,2087678,wont buy if You it its durable Value Thanks Lazada,wont if Value regret for it durable buy Thanks money,You Value regret buy money wont for you if it
84,2088374,low perfect Value is for one satisfied money price The,is low money perfect one satisfied price for Value The,for one is perfect money price The Value
85,2150585,mahal on,on mahal,on mahal
86,2160595,SESUAI MANTAP DONE EKSPENTASI,DONE SESUAI EKSPENTASI MANTAP,
87,2294590,8GB ga USB pakai di,ga 8GB pakai USB di,ga 8GB USB
88,2294900,sesuai sesuai gambar,gambar sesuai sesuai,gambar sesuai sesuai
89,2295221,with for the was the fast so Value Satisfied goodand,was fast the product money Satisfied item with Value so,was Satisfied Value the product goodand item money the with
90,2318589,pake lancar masalah Mantap puas smart sesuai far selama Superb,sesuai Barang hari diterima dipakai smart Mantap selama dri Pengriman,pake sejak stuf Barang Superb hd gambar So Col tv
91,2326029,Kualitas lainya jalan dibanding harganya lainya Barangnya murah turun paling,lainya murah dibanding cepattapi naik lainya ecomerce turun Bagus barang,dilazada sesuai Website belanja ecomerce Murah Termurah mantab lainya lainya
92,2326049,lazada sansdik Flaskdisk bekerja baik trimakasih sampai Barang,Flaskdisk lazada trimakasih baik Barang sampai bekerja sansdik,sampai bekerja Barang sansdik Flaskdisk
93,2413911,Great item,item Great,Great
94,2418805,banget suka game bagus rekomen banget main keren banget bagus,harga banget banget banget game main jt suka keren buat,rekomen keren banget harga produk bagus jt banget banget rekomen
95,2419138,Tolong kabari kabari Tolong,Tolong Tolong kabari kabari,Tolong kabari kabari Tolong
96,170636,bagus,bagus,bagus
97,2728806,murah,murah,murah
